[run number],release-adult-hybrids,stop-criterion-type,release-end,release-age,sex-ratio,Corral-capacity,[step],pop-size-wild,adult-pop-size-wild,cost,final-mean-qval,final-sd-qval,final-aar,final-sar,final-ho,final-sex-ratio,ticks
66,TRUE,"""time""",20,5,0.5,28,50,951,474,1219865,0.20324469,0.038889929,135,4.495985474,0.718742176,0.523659306,50
67,TRUE,"""time""",20,5,0.5,28,50,1056,520,1297030,0.204914015,0.036961449,137,4.502820247,0.715097403,0.508522727,50
68,TRUE,"""time""",20,5,0.5,28,50,987,505,1270335,0.192629179,0.035373237,136,4.464120477,0.707965456,0.542046606,50
69,TRUE,"""time""",20,5,0.5,28,50,956,486,1258390,0.197582741,0.035038618,137,4.499399611,0.702630006,0.511506276,50
70,TRUE,"""time""",20,5,0.5,28,50,896,445,1223460,0.196275893,0.033172688,138,4.504443545,0.721619898,0.535714286,50
71,TRUE,"""time""",20,5,0.67,20,50,937,414,959000,0.183886873,0.030723874,133,4.473804196,0.714743101,0.554962647,50
72,TRUE,"""time""",20,5,0.67,20,50,798,362,920780,0.197161028,0.036635402,135,4.488006705,0.721088435,0.560150376,50
73,TRUE,"""time""",20,5,0.67,20,50,779,353,937025,0.188350578,0.031514755,130,4.466891952,0.719053732,0.548138639,50
74,TRUE,"""time""",20,5,0.67,20,50,934,424,969570,0.195502463,0.035540275,133,4.489744741,0.705822372,0.53640257,50
75,TRUE,"""time""",20,5,0.67,20,50,827,373,966540,0.183604595,0.03074138,134,4.475416124,0.713997812,0.570737606,50
76,TRUE,"""time""",20,5,0.67,28,50,1225,567,1296535,0.204384653,0.038079201,138,4.507839031,0.713197279,0.575510204,50
77,TRUE,"""time""",20,5,0.67,28,50,1172,539,1304885,0.19221459,0.032093328,136,4.487922399,0.720055258,0.561433447,50
78,TRUE,"""time""",20,5,0.67,28,50,1146,541,1285640,0.20075192,0.034344769,138,4.516193463,0.714077952,0.558464223,50
79,TRUE,"""time""",20,5,0.67,28,50,1117,505,1259240,0.196044763,0.035374942,133,4.472768538,0.719529352,0.571172784,50
80,TRUE,"""time""",20,5,0.67,28,50,1075,509,1214030,0.197348558,0.038013177,134,4.49979538,0.706578073,0.564651163,50
81,TRUE,"""time""",20,5,0.75,20,50,998,431,977860,0.186279058,0.028523645,132,4.473110161,0.712758851,0.592184369,50
82,TRUE,"""time""",20,5,0.75,20,50,966,426,979830,0.191480228,0.036355427,137,4.480423251,0.709750567,0.592132505,50
83,TRUE,"""time""",20,5,0.75,20,50,1025,440,963075,0.191142537,0.035465053,134,4.455546321,0.710987224,0.591219512,50
84,TRUE,"""time""",20,5,0.75,20,50,925,406,887150,0.188509081,0.032641023,137,4.469087644,0.712432432,0.592432432,50
85,TRUE,"""time""",20,5,0.75,20,50,921,409,968340,0.18702215,0.030782611,136,4.505005761,0.712010754,0.578718784,50
86,TRUE,"""time""",20,5,0.75,28,50,1230,546,1252775,0.194212358,0.033221492,138,4.513719598,0.702555168,0.582113821,50
87,TRUE,"""time""",20,5,0.75,28,50,1254,559,1260875,0.199544258,0.035174567,133,4.521362587,0.707070707,0.594896332,50
88,TRUE,"""time""",20,5,0.75,28,50,1261,535,1267700,0.195899048,0.034041805,136,4.47927181,0.700993165,0.586835845,50
89,TRUE,"""time""",20,5,0.75,28,50,1280,563,1252190,0.201844531,0.035299463,137,4.497899644,0.7140625,0.56875,50
90,TRUE,"""time""",20,5,0.75,28,50,1309,593,1284560,0.204598854,0.037803141,135,4.466571953,0.716504784,0.572192513,50
91,TRUE,"""time""",20,6,0.5,20,50,694,354,1005570,0.190085447,0.032157652,135,4.477034791,0.711266639,0.531700288,50
92,TRUE,"""time""",20,6,0.5,20,50,686,352,1030235,0.191987609,0.036219824,134,4.476360451,0.709287797,0.518950437,50
93,TRUE,"""time""",20,6,0.5,20,50,657,345,1022005,0.185940335,0.032657695,137,4.471724085,0.712401247,0.526636225,50
94,TRUE,"""time""",20,6,0.5,20,50,749,365,1040220,0.191671963,0.034772847,135,4.457963756,0.709326721,0.511348465,50
95,TRUE,"""time""",20,6,0.5,20,50,640,311,958815,0.186786406,0.029012609,135,4.507386209,0.723065476,0.5046875,50
96,TRUE,"""time""",20,6,0.5,28,50,859,426,1289020,0.202317229,0.036346689,135,4.52311301,0.711846555,0.512223516,50
97,TRUE,"""time""",20,6,0.5,28,50,915,456,1671060,0.194557268,0.034609176,134,4.487793567,0.705282332,0.523497268,50
98,TRUE,"""time""",20,6,0.5,28,50,905,454,1514130,0.19558011,0.034553145,137,4.488286602,0.70649829,0.51160221,50
99,TRUE,"""time""",20,6,0.5,28,50,887,455,1349250,0.194428523,0.031345669,138,4.523974719,0.714232029,0.511837655,50
100,TRUE,"""time""",20,6,0.5,28,50,892,438,1585520,0.192078812,0.031645023,137,4.465960372,0.722773863,0.539237668,50
101,TRUE,"""time""",20,6,0.67,20,50,885,419,1020060,0.187313107,0.035945098,135,4.485196779,0.70858219,0.575141243,50
102,TRUE,"""time""",20,6,0.67,20,50,807,371,1033140,0.190754027,0.033621706,133,4.486330761,0.705316575,0.562577447,50
103,TRUE,"""time""",20,6,0.67,20,50,792,370,975980,0.192708965,0.03256741,131,4.4825591,0.713083213,0.569444444,50
104,TRUE,"""time""",20,6,0.67,20,50,865,420,1021755,0.193338382,0.036219063,133,4.482120991,0.707349298,0.56416185,50
105,TRUE,"""time""",20,6,0.67,20,50,893,400,950265,0.190469765,0.035348791,137,4.484987485,0.715618834,0.556550952,50
106,TRUE,"""time""",20,6,0.67,28,50,1040,447,1269175,0.193428269,0.031204777,134,4.531320133,0.717216117,0.575961538,50
107,TRUE,"""time""",20,6,0.67,28,50,1172,527,1630725,0.200487457,0.037006797,136,4.491333974,0.708597432,0.574232082,50
108,TRUE,"""time""",20,6,0.67,28,50,1080,495,1448270,0.190832963,0.034018148,130,4.480021895,0.709391534,0.563888889,50
109,TRUE,"""time""",20,6,0.67,28,50,1082,519,1516165,0.191161553,0.032429684,137,4.481382278,0.720755215,0.557301294,50
110,TRUE,"""time""",20,6,0.67,28,50,1058,484,1360245,0.201194045,0.037833703,133,4.502236859,0.697587542,0.592627599,50
111,TRUE,"""time""",20,6,0.75,20,50,813,358,994370,0.194408733,0.036916068,131,4.441120931,0.699115563,0.594095941,50
112,TRUE,"""time""",20,6,0.75,20,50,814,388,972000,0.187207125,0.032035957,136,4.465980292,0.714227214,0.58968059,50
113,TRUE,"""time""",20,6,0.75,20,50,885,393,979140,0.189924633,0.034988928,135,4.464029862,0.705246166,0.568361582,50
114,TRUE,"""time""",20,6,0.75,20,50,754,330,924520,0.187737401,0.032544008,133,4.473165989,0.716054061,0.610079576,50
115,TRUE,"""time""",20,6,0.75,20,50,833,365,981320,0.189677911,0.030762874,132,4.479272409,0.720116618,0.585834334,50
116,TRUE,"""time""",20,6,0.75,28,50,1103,489,1254580,0.2020767,0.037318546,133,4.492476124,0.71532185,0.572982774,50
117,TRUE,"""time""",20,6,0.75,28,50,1073,478,1278005,0.182088723,0.030258121,136,4.474792632,0.710735366,0.605778192,50
118,TRUE,"""time""",20,6,0.75,28,50,1164,509,1668340,0.199558076,0.035551438,136,4.506258037,0.71539028,0.604810997,50
119,TRUE,"""time""",20,6,0.75,28,50,1300,588,1606385,0.194007385,0.036017319,137,4.505032516,0.710732601,0.594615385,50
120,TRUE,"""time""",20,6,0.75,28,50,1222,546,1680315,0.19561653,0.033509607,135,4.502599923,0.705556854,0.569558101,50
121,TRUE,"""time""",20,7,0.5,20,50,664,331,1022270,0.192949096,0.034091459,132,4.480593763,0.715935169,0.513554217,50
122,TRUE,"""time""",20,7,0.5,20,50,691,365,982520,0.183463821,0.031305054,136,4.491650622,0.708083523,0.506512301,50
123,TRUE,"""time""",20,7,0.5,20,50,660,326,1077980,0.188400606,0.0302801,131,4.475846879,0.710606061,0.509090909,50
